Object Number,Section Number,Restuarant Name,Restaurant Street Address,Restaurant City,State,Pattern,Pattern varient,Additional Design,Vessel form,Rim Diameter (cm),Vessel Height (in cm),Thickness of Vessel Walls (in mm),Thickness of Lip (in mm),Foot Rim Diameter (cm),Height of foot (in mm),Mark (use letter code sheet),"Sticker (use code, 0=none)",Weight (in grams),Year Opened,Year Closed,Additional Design,Style of Food Sold,Surname,Place of Birth,Date Range for Artifact,Citation/Link,Photos
FSL-129,102,Woo's Garden (genuine cantonese food),11035 S. Crenshaw Blvd,Inglewood,CA,Bird and Flower,BFIII,restaurant logo,dip plate,9.9,2.5,5.964,3.227,5.8,12,D,0,94.55,,,,Chinese food,Woo,,,,
FSL-094,104,Yee Hung Guey Cafe,956 N. Hill St.,Los Angeles,CA,Bird and Flower,II,n/a,cup,7.5,4.7,8.6,8.4,3.8,3,D,0,195.48,n/a,n/a,,,,,,,
FSL-332,106,"Yuet Sue's Tea
House","2332 S. 
Mooney",Visalia,CA,Bird and Flower,BFII,,Dish/plate,12.3,2.1,5.3,7.1,7.011,3.1,D,0,151.15,1960,1975,,,,,,,
FSL-329,110,Yuet Sue's Tea House,2332 S. Mooney Blvd. ,Visalia,CA,Bird and Flower,BF III,"""Famous CHINESE & AMERICAN FOOD"", phone number, characters",Saucer,12.5,1.5,4.9,6.7,7,2,D,0,151.21,1960,~1975,,"Chinese & American, Mandarin Cocktail Lounge",Sue,,,https://cdnc.ucr.edu/?a=d&d=TULAR19640215.1.2&e=-------en--20--1--txt-txIN--------,
FSL-085,105,Sheng Haw Low Cafe,1052 Third Ave.,San Deigo,CA,"Bird and Flower (BF 1(Bird & Flower, long beak; one leg on the bird))",BF1,"lady of Phenoix , lotus flowers",Tea cup,7.6cm,5.2cm,6mm,8mm,3.7mm,3mm,D,0,145.03g,About 1950,about 1960,Misprint on the cup. Says Caee instead of Cafe,,,,,,
FSL-330,109,Yuet Sue's Tea House,2332 S. MOONEY BLVD.,Visalia,CA,Bird and Flower (BF),lll,Bird wings and red leafs,Saucer Dish,12,1.8,7.2,7,6.8,2,E,0,149.83,,,,,,,,https://visaliahistory.blogspot.com/2014/,
FSL-105,105,The Rice Bowl,2804 Highway 99E,North Chico,CA,Bird and Flower (BF),BFI,,Tea cup,7.5cm,5.1cm,8mm,8.5mm,3.6cm,2.2mm,D,0,156.94g,1958,"Closed in 2004, reopened after renovations",FS Louie Berkeley' stamp on bottom of cup,,,,,,
FSL-122,102,Moytel Motel,946 Yale St,Los Angeles,CA,Deer (Brown dear),GL III,Restaurant Logo: Moytel Los Angeles Chinatown,Ash tray,10,2.5,2,NA,5.5,3,D,0,97.58,1960,Present,,"no food, motel",Moy,L.A. Chinatown,1960s,,
FSL-308,102,Yuet Sue's Tea House,2332 S Mooney Blvd,Visalia,CA,"Deer (Brown Deer, solid)",GL II,Restaurant Logo,Teacup,7.6,5.3,6,,3.7,5,D,0,141.14,,,,,,,,,
FSL-309,102,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,"Deer (Light colored, solid deer)",GL l,Restaurant Logo,Teacup,7.4,5.2,6.378,6.378,3.4,7,E,0,142.7,"Jan. 28, 1960",About 1975,,"Chinese, Mandarin, and South Seas Cuisine. ",Sue,Unknown,Sometime around 1960,,
FSL-296,111,Yuet Sue's Tea House,2332 s. Mooney Blvd.,Visalia,CA,Deer (old man with a stick next to a deer; child with a dumpling steamer and a duck/chicken inside of it.,GL III,"small orange blotch potentially part of the design but indistinguishable; most text on the cup is written in all capital letters except for the words ""famous"" (written in cursive) and ""yuet Sue's"" (in italics); chinese character underneath the name of the restaurant (possibly the restaurant in chinese characters)",tea cup,7.8 cm,5.3 cm,6.7 mm,6.7 mm,3.8 cm,3 mm,D,,139.88 g,1960,1975,,"Cantonese, Mandarin, South Seas Cuisine, as well as American ",Sue,China,,,
FSL-116,102,Lim's Cafe,592 N.Market St,Redding,CA,"Deer (One man, one boy, one deer",GL II,restaurant logo,ash tray,9.7,2.1,2,NA,5.5,3,D,0,95.78,,,,Chinese/American,,,,,
FSL-121,102,Moytel,946 Yale St. ,Los Angeles,CA,"Deer (One man, one young boy, and one darkly colored deer with white spots",,,Ash tray,10,2.5,2,N/A,5.5 -- kinda square tho,3 mm,D,0,98.91,1960,n/a,,there was no food -- motel; sold rooms,Moy,L.A. Chinatown,1960s,,
FSL-119,104,YANGTZE RE,126 NORTH EUCCID AVE,Ontario,CA,deer with lighter cocored chest,GL III,N/A,Dish/plate,10,2.3,2.4,6.1,5,2,G,0,106.59,"April 22,1961",N/A ,,,,,,,
FSL-117,104,Bamboo Garden,8844 S. Vermont Ave,Los Angeles,CA,Deer with lighter colored chest,GL III,"Yes, restarauant information",Dish/plate,10,2.4,2.48,2.36,5.8,1.2,D,Rectangular sticker,93.9,N/A,2022,,,,,,,
FSL-130,103,Yee's Garden,3309 S Dogwood Rd,El Centro,CA,"Deer, Man, Kid",GLIII,deer with lighter colored chest,Ashtray,7.5cm,wi,2.2mm,5.4mm,6cm,5mm,D,0,101.32,1960,1979,,Chinese-Mexican,Woo,China,,,
FSL-123,103,Lems Rewstaruant ,22039 Sherman Way,Canoga Park ,CA,"Deer, Man, Kid ",GL lll,Deer with ligher colored chest ,ashtray ,7.5,9cm,2.5,1.5,5,5,D,0,98.76,,,,,,,,,
FSL-128,103,Bugle Cafe,"1498 South K St, Tulare, Calif. ",Tulare,CA,"Deer, Old man, Child, Chinese Letters",GL |||,Unique shape of ceramic around edges,Ashtray,,,,,,,D,FSL 128,,1946,Before 1970,Gold lining along edges,,,,,,
FSL-302,112,China Land,3135 MIDWAY DR.,San Diego,CA,DP,III,Peacock and a woman,Tea Cup,7.7cm,4.8cm,6.403mm,7.2mm,3.9cm,4mm,D,0,151.59g,1950s,,"FOODS TO TAKE OUT, 山唐",,,,,,
FSL-303,112,Man Fask Low,962 So. San Pedro St,Los Angeles,CA,DP,IV,Peacock,Tea Cup,8 cm,4.7 cm,6.109 mm,6.673 mm,3.8 cm,3 mm,B,0,134.92 g,1928,1990s,,"Dim Sum, Americanized Chinese Food",,,1928 - 1990,,
FSL-306,112,Holly Cafe,1429 Market St.,Redding,CA,DP ,V,Peacock,Tea Cup,7.5 cm,5 cm,5.756 mm,6.61 mm,3.3 cm,2 mm,B,0,118.66g,Was open in 1960,,"ALSO TAKE OUT ORDERS, REDDINGS, CALIF., Holly Cafe in Script, 利好",,,,1955 - 1960,,
FSL-096,103,Tuey Far Ven Cafe,2617 E. Florence Ave.,Huntington Park,CA,"DP (Peacock, Dragon with ""Upward Tulip Eyes"", the mddle of the teacup has the restaurant name/address/phone number, the rim has spiral patterns (yellow, red, blue pattern)",DP III,Upward Tulip Eyes: The Eyebrow shape looks like a classic 3 pointed tulip shaped. (from FSL Pattern Identification Sheet),Teacup,7.7,4.8,8.9,8.403,3.8,3,D,0,200.21,,,,,,,,,
FSL-101,103,Man Fook Low,962 SO. San Pedro St,Los Angeles,CA,"DP (Peacock, Dragon with Backwards 'S' and 'w' whiskers",DP IV,Peacock,Tea Cup,7.7,4.8,5.292,6.424,3.8,3,B,FSL-101,136.68,1928,1986,Dragon/Phoenix,Dim Sum,N/A,China,,,
FSL-084,103,Man Fook Low,962 So. San Pedro St ,Los Angeles,CA,"DP (Peacock, Dragon, and spiral pattern on the rims, with Chinese Letters",DP IV,Peacock bird,Tea Cup,7.5,5,5.042,6.5,3.5,3,B,0,140.06,1928,1990,"peacock and dragon, swirl pattern on rim",,,,,,
FSL-108,103,Sheng Haw Low ,5801 University Ave.,San Diego,CA,DP (Red Dragon,RD,Sun + Swirly details,Tea Cup,7.8,5.3,1.046,1.002,3.7,5,C,0,152.41,1950s,Moved locations in late 1960s,Red dragon + swirling designs and sun,Chinese-American ,Sheng,China,,,
FSL-304,102,Al's Chop Suey,3731 E. 14th St.,Oakland,CA,dragon and phoenix,DPIV,Restaurant Logo,teacup ,7.5,5.2,6.3,7.7,3.3,3,K,0,139.7,,,,,,,,,
FSL-100,104,Tao Tao Resturant,175 South Murphy Ave.,Sunnyvale,CA,Dragon and Phoenix,DP V,Square patterns around lip,Cup,7.3,4.9,6.386,7.2,3.5,0.7,,FSL-100,120.92,1951,1996 (but reopened in 2020),,,,,,,
FSL-110,104,Asia Chop Suey,859 N. Hawthorne Blvd,Hawthorne,CA,Dragon and Phoenix,II,n/a,cup,7.2,5.2,5.731,6.851,3.4,1.5,B,FSL-110,129.21,n/a: found menu on etsy from 1961,n/a,,,,,,,
