Object Number,Section Number,Restuarant Name,Restaurant Street Address,Restaurant City,State,Pattern,Pattern varient,Additional Design,Vessel form,Rim Diameter (cm),Vessel Height (in cm),Thickness of Vessel Walls (in mm),Thickness of Lip (in mm),Foot Rim Diameter (cm),Height of foot (in mm),Mark (use letter code sheet),"Sticker (use code, 0=none)",Weight (in grams),Year Opened,Year Closed,Additional Design.1,Style of Food Sold,Surname,Place of Birth,Date Range for Artifact,Citation/Link,Photos,full_address,latitude,longitude
FSL-095,104,Woo's Garden,11035 S. Crenshaw,Inglewood,CA,Two (2 Women),TW I,,cup,6,4.8,7.326,8.691,3.6,2,D,0,165.06,,,,,,,,,,"11035 S. Crenshaw, Inglewood, CA",33.93544686,-118.3265025
FSL-102,107,The Polynesian,Herschel at Silverado,La Jolla,CA,Two (TW,TW 1,,cup,7.7,5,5,7,1.5,3,D,0,,≤1960,≥1980,,,,,,,,"Herschel at Silverado, La Jolla, CA",32.84539726,-117.2727941
FSL-087,102,Royal Canton Cafe,641 1st St,Encinitas,CA,Two Women,TW1,"Restaurant Logo w ""Guang Dong"" written in Chinese",Teacup,7.5,4.7,5.407,7.496,3.7,2,D,0,143.33,1980,2012,,,,,,,,"641 1st St, Encinitas, CA",33.03581964,-117.2924413
FSL-088,102,Ming's Chinese,17812 S. Bellflower Blvd,Bellflower,CA,Two Women,TW1,Restaurant Logo,Teacup,7.5,5,6.009,7.764,3.7,3,D,0,142.8,1952,2018,,,,,,,,"17812 S. Bellflower Blvd, Bellflower, CA",33.87082392,-118.1248832
FSL-098,102,Lem's Cafe,320 E. First St.,Los Angeles,CA,Two Women,TW 1,Resturant Name,Teacup,7.3,5.2,5.703,6.936,3.7,2,D,0,135.93,,,,Chinese (mandarin),Lim,,,,,"320 E. First St., Los Angeles, CA",34.04431033,-117.817623
FSL-103,103,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visali,CA,Two Women,TW 1,Restaurant Logo,Teacup,7.5,4.9,0.607,0.7,3.7,0.3,B,0,147.08,1960,TBD (sometime before 2024; currently is a Denny's),,Chinese (mandarin),Sue,,1960s,,,"2332 S. Mooney Blvd, Visali, CA",36.30952427,-119.3134744
FSL-109,102,Ace Chop Suey,7001 E. 14th. St.,Oakland,CA,Two Women,TW1,restaurant logo,Teaup,7.5,4.7,5.324,6.806,3.5,2,K,0,129,1950,,,,,,,,,"7001 E. 14th. St., Oakland, CA",37.76004275,-122.1894605
FSL-112,102,The Polynesian Restaurant,7805 Herschel Avenue,La Jolla,CA,Two Women,TW I,Restaurant Logo,Teacup,7.6,5.2,6.7,5.1,3.8,2,D,0,126.69,,,,"Chinese, Cantonese, Polynesian inspired",Chung,Canton,1960s,,,"7805 Herschel Avenue, La Jolla, CA",32.84558414,-117.2727282
FSL-280,102,Fong's Chinese Dihn-s,4608 E. Tulare St.,Fresno,CA,Two Women,TW1,Resturant Logo,Teacup,7.4,4.8,5.258,5,3.5,2,B,0,154.3,1957,Still in business,,,Fong,,,,,"4608 E. Tulare St., Fresno, CA",36.74403097,-119.6737604
FSL-086,103,Pagoda Cafe,911 Glenwood St.,Delano,CA,Two women,TW I,Gold trim,Teacup,7.1,5,6.34,6.94,3.1,3,B,0,135,,1988,,Chinese Takeout,Wong,China,,,,"911 Glenwood St., Delano, CA",35.76754669,-119.2485384
